no,name,price,type,area,bedrooms,bathrooms,receptions,district,city,postcode
1,Wimbolt Street,1999995,House,1935,5,5,5,Shoreditch,London1500,E2 7BX
2,Belgrave Mews North,2250000,House,1299,3,3,3,,London,SW1X 8RS
3,Church Road,550000,Flat / Apartment,582,2,2,2,Richmond,London,TW9 1UA
4,St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN
5,St. John's Hill,850000,Flat / Apartment,1339,3,3,3,,London,SW11 1TH
6,Regents Drive,950000,House,1857,4,4,4,Woodford Green,London,IG8 8RZ
7,Piercing Hill,799999,House,1507,4,4,4, Epping,London,CM16 7JN
8,Bourne Street,2500000,House,1340,3,3,3,,London,SW1W 8JR
9,Eaton Terrace,6450000,House,3336,5,5,5,Belgravia,London,SW1W 8EZ
10,Palace Court,2250000,Penthouse,1765,2,2,2,,London,W2 4HU
11,Iverna Gardens,2500000,Flat / Apartment,1752,3,3,3,,London,W8 6TW
12,City North East Tower,475000,New development,560,1,1,1,3 City North Place,London,N4 3FQ
13,ICON7,560000,New development,657,2,2,2, Holloway,London,N7 0JN
14,ICON7,610000,New development,758,2,2,2, Holloway,London,N7 0JN
15,ICON7,600000,New development,758,2,2,2, Holloway,London,N7 0JN
16,Octavia House,615000,Flat / Apartment,797,1,1,1,Imperial Wharf,London,SW6 2FH
17,Gloucester House,625000,Flat / Apartment,960,2,2,2, Sheen Road,London,TW10 5BB
18,Entwistle Terrace,600000,Flat / Apartment,658,1,1,1,St. Peters Square,London,W6 9AW
19,Rutherford House,650000,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4BT
20,Evelyn Road,1285000,House,1476,3,3,3,Richmond,London,TW9 2TF
21,Oakford Road,1795000,House,1824,5,5,5,Kentish Town,London,NW5 1AJ
22,Walham Grove,825000,Flat / Apartment,843,2,2,2,Fulham,London,SW6 1QR
23,Killieser Avenue,2350000,House,3180,6,6,6,,London,SW2 4NX
24,Underwood Street,2350000,Flat / Apartment,2577,3,3,3,Old Street,London,N1 7LG
25,Emperors Gate,2500000,Flat / Apartment,1498,2,2,2,,London,SW7 4JA
26,Stapleton Road,675000,Flat / Apartment,946,3,3,3,,London,SW17 8AY
27,Stokesheath Road,4650000,House,7996,6,6,6,Oxshott,London,KT22 0PN
28,Tile Kiln Lane,1695000,House,6356,6,6,6, Uxbridge,London,UB9 6LU
29,Old Town,1050000,Flat / Apartment,976,2,2,2,,London,SW4 0JT
30,Atina Court,1200000,Flat / Apartment,932,2,2,2, Belsize Park,London,NW3 4UR
31,Fulham Palace Road,625000,Flat / Apartment,663,2,2,2,,London,SW6 6TA
32,Cottimore Avenue,649950,House,1378,4,4,4,Walton-on-Thames,London,KT12 2AE
33,Voltaire Buildings,450000,Flat / Apartment,600,2,2,2,330 Garratt Lane,London,SW18 4FR
34,Chipstead Street,3450000,House,3070,5,5,5,Fulham,London,SW6 3SR
35,Cambridge Street,995000,Flat / Apartment,908,2,2,2,Pimlico,London,SW1V 4QE
36,Arthur Road,795000,Flat / Apartment,1536,3,3,3,Wimbledon,London,SW19 7DN
37,Cromwell Road,1775000,House,2336,5,5,5,Wimbledon,London,SW19 8LF
38,Burwood Park Road,1295000,House,2371,5,5,5, Walton-on-Thames,London,KT12 5LJ
39,Forge Lane,975000,House,1201,3,3,3,Richmond,London,TW10 7BF
40,High Oaks Close,1100000,House,3185,5,5,5,Coulsdon,London,CR5 3EZ
41,Roskell Road,549950,Flat / Apartment,730,1,1,1,Putney,London,SW15 1DS
42,Cautley Avenue,295000,Studio,277,0,0,0,,London,SW4 9HU
43,Clarendon Gardens,2600000,Flat / Apartment,1779,3,3,3,Little Venice,London,W9 1AZ
44,Turpins Lane,700000,House,1441,4,4,4,Woodford Green,London,IG8 8AZ
45,Pavilion Road,3950000,House,1917,1,1,1,Knightsbridge,London,SW1X 0AX
46,Islington,1500000,House,1666,3,3,3,,London,N7 8LS
47,Elwood Street,1350000,House,1629,4,4,4,Highbury,London,N5 1EH
48,Northchurch Road,900000,Flat / Apartment,1069,2,2,2,,London,N1 3NU
49,Ellington Street,2750000,House,2500,5,5,5,Islington,London,N7 8PN
50,Tollington Way,699500,New development,990,2,2,2, London,London,N7 6RG
51,Well Walk,799950,Flat / Apartment,770,2,2,2,Hampstead,London,NW3 1LD
52,Irene Road,2895000,House,2730,5,5,5, Fulham,London,SW6 4AL
53,Melbourne Mansions,799950,Flat / Apartment,940,3,3,3,Queens Club Gardens,London,W14 9SF
54,Wandsworth Bridge Road,2250000,House,2949,6,6,6,Fulham,London,SW6 2TB
55,Trystings Close,1125000,House,2495,5,5,5, Esher,London,KT10 0TF
56,Lillie Square East,2020000,New development,1262,3,3,3, Earls Court,London,SW6 1UE
57,Graveney Road,975000,House,1308,4,4,4,Tooting,London,SW17 0EG
58,Louisville Road,1595000,House,2790,6,6,6,,London,SW17 8RN
59,Merino Court,850000,Flat / Apartment,978,3,3,3, Clerkenwell,London,EC1V 8BG
60,Westville Road,570000,Flat / Apartment,682,2,2,2,,London,W12 9BD
61,North Road,2400000,House,2411,4,4,4,Highgate,London,N6 4AA
62,Jubilee Court,475000,Flat / Apartment,496,1,1,1, Greenwich,London,SE10 9FJ
63,Onslow Road,800000,Flat / Apartment,734,2,2,2,Richmond,London,TW10 6QH
64,Old Oak Avenue,950000,House,3006,5,5,5, Coulsdon,London,CR5 3PG
65,Roehampton High Street,1200000,House,1934,4,4,4,Putney,London,SW15 4HH
66,Arthur Road,3250000,House,4370,6,6,6,Wimbledon,London,SW19 7DP
67,Gibson Square,2375000,House,2153,3,3,3,Islington,London,N1 0RD
68,Eamont Court,650000,Flat / Apartment,595,2,2,2,Shannon Place,London,NW8 7DN
69,Disraeli Road,1295000,House,876,4,4,4,Putney,London,SW15 2DS
70,Quill Lane,1000000,House,905,2,2,2,Putney,London,SW15 1PD
71,York Mansions,1885000,Flat / Apartment,1675,4,4,4,Prince of Wales Drive,London,SW11 4DL
72,Thornton Hill,635000,Flat / Apartment,797,2,2,2,,London,SW19 4HS
73,Montem Terrace,3495000,New development,4420,6,6,6, Wimbledon,London,SW20 8TG
